# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.01
2                       6.10
4                      12.26
8                      24.12
16                     47.79
32                     94.74
64                    183.78
128                   363.87
256                   698.87
512                  1145.04
1024                 2047.50
2048                 3535.23
4096                 2932.97
8192                 4662.88
16384                7144.10
32768                9033.75
65536               10005.10
131072              10623.69
262144              10871.61
524288              11046.11
1048576             11105.69
2097152             11135.44
4194304             11148.45
