# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.10
2                       6.28
4                      12.21
8                      24.51
16                     49.16
32                     98.68
64                    193.12
128                   373.99
256                   711.72
512                  1143.59
1024                 2053.50
2048                 3535.01
4096                 2975.91
8192                 4660.68
16384                7149.25
32768                9068.92
65536               10099.58
131072              10700.15
262144              10912.14
524288              11078.30
1048576             11129.22
2097152             11111.26
4194304             11172.56
