# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.60
2                       7.21
4                      14.42
8                      28.92
16                     57.51
32                    115.30
64                    231.88
128                   452.69
256                   854.04
512                  1142.65
1024                 2003.86
2048                 3570.36
4096                 3246.97
8192                 5090.19
16384                7603.14
32768                9384.88
65536               10431.03
131072              10858.11
262144              11093.92
524288              11230.98
1048576             11298.70
2097152             11280.84
4194304             11347.49
