# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.10
2                       6.20
4                      12.17
8                      24.52
16                     48.00
32                     96.92
64                    187.17
128                   366.92
256                   710.07
512                  1159.31
1024                 2092.76
2048                 3581.12
4096                 3018.64
8192                 4862.93
16384                7308.78
32768                9255.16
65536               10146.23
131072              10732.33
262144              10952.63
524288              11103.56
1048576             11142.05
2097152             11175.35
4194304             11188.94
