# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.16        3163296.27
2                       6.29        3143117.28
4                      13.07        3268580.21
8                      25.58        3197498.44
16                     51.26        3203738.60
32                    102.55        3204565.22
64                    210.72        3292504.05
128                   401.09        3133526.47
256                   766.45        2993960.15
512                  1187.34        2319029.97
1024                 2137.03        2086945.88
2048                 3711.60        1812304.13
4096                 3236.22         790093.10
8192                 4996.18         609884.81
16384                7545.65         460549.97
32768                9310.65         284138.51
65536               10374.28         158298.93
131072              10784.56          82279.64
262144              11027.09          42065.01
524288              11178.42          21321.14
1048576             11245.46          10724.51
2097152             11287.40           5382.25
4194304             11294.92           2692.92
