# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.56
2                       0.56
4                       0.55
8                       0.56
16                      0.56
32                      0.56
64                      0.55
128                     0.62
256                     0.61
512                     0.80
1024                    0.89
2048                    1.06
4096                    2.07
8192                    2.86
16384                   4.39
32768                   7.11
65536                   9.67
131072                 15.46
262144                 27.51
524288                 53.53
1048576               109.95
2097152               213.90
4194304               418.40
