# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.01
2                       5.95
4                      11.89
8                      24.02
16                     48.00
32                     92.90
64                    182.75
128                   355.13
256                   685.40
512                  1160.93
1024                 2066.79
2048                 3473.28
4096                 2980.03
8192                 4695.91
16384                7144.66
32768                9079.04
65536               10036.02
131072              10631.60
262144              10873.36
524288              11041.49
1048576             11094.29
2097152             11139.03
4194304             11155.91
