# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.02
2                       5.94
4                      11.94
8                      23.54
16                     47.40
32                     92.32
64                    186.41
128                   350.53
256                   696.97
512                  1144.22
1024                 2056.48
2048                 3515.74
4096                 2959.85
8192                 4651.03
16384                7141.41
32768                9062.92
65536               10009.11
131072              10620.72
262144              10823.70
524288              10969.07
1048576             11023.80
2097152             11058.87
4194304             11047.29
