# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.64
2                       0.63
4                       0.63
8                       0.58
16                      0.60
32                      0.59
64                      0.64
128                     0.63
256                     0.62
512                     0.77
1024                    0.86
2048                    1.02
4096                    2.10
8192                    2.89
16384                   4.41
32768                   7.00
65536                   9.78
131072                 15.57
262144                 27.63
524288                 54.05
1048576               109.60
2097152               210.28
4194304               417.22
