# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.02
2                       6.03
4                      12.40
8                      24.73
16                     49.24
32                     97.09
64                    189.20
128                   368.82
256                   714.72
512                  1143.99
1024                 2049.52
2048                 3501.14
4096                 2948.15
8192                 4649.85
16384                7104.36
32768                9018.99
65536                9999.64
131072              10636.89
262144              10869.94
524288              11032.39
1048576             11100.02
2097152             11144.17
4194304             11160.93
