# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.26        2255505.97
2                       4.49        2242630.71
4                       8.97        2241288.66
8                      17.92        2240439.09
16                     35.98        2248455.77
32                     70.56        2204886.68
64                    139.50        2179657.23
128                   264.59        2067128.31
256                   508.20        1985147.01
512                  1097.69        2143934.81
1024                 1996.93        1950127.86
2048                 3490.22        1704211.15
4096                 3004.41         733499.13
8192                 4907.72         599087.49
16384                7305.08         445866.95
32768                9241.04         282014.11
65536               10127.26         154529.74
131072              10679.74          81479.93
262144              10897.48          41570.57
524288              11062.51          21100.07
1048576             11088.67          10574.98
2097152             11124.97           5304.80
4194304             11131.66           2654.00
