# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.18        3179109.75
2                       6.31        3157067.98
4                      12.20        3050463.53
8                      24.88        3109437.78
16                     50.09        3130617.69
32                     98.65        3082722.30
64                    201.89        3154540.39
128                   391.32        3057219.01
256                   733.39        2864820.06
512                  1232.51        2407255.32
1024                 2249.69        2196960.99
2048                 3879.49        1894281.45
4096                 3408.61         832179.97
8192                 5095.29         621983.30
16384                7588.25         463149.89
32768                9365.87         285823.63
65536               10417.65         158960.72
131072              10614.35          80981.09
262144              10979.36          41882.93
524288              11211.25          21383.76
1048576             11274.14          10751.86
2097152             11318.14           5396.91
4194304             11339.83           2703.63
