# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.48
2                       6.89
4                      14.20
8                      27.68
16                     56.42
32                    110.28
64                    223.85
128                   439.04
256                   816.11
512                  1119.27
1024                 1978.26
2048                 3542.96
4096                 3280.80
8192                 4965.10
16384                7412.87
32768                9217.94
65536               10376.76
131072              10793.79
262144              11034.38
524288              11179.80
1048576             11258.03
2097152             11304.51
4194304             11292.25
