# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.61
2                       0.60
4                       0.61
8                       0.57
16                      0.61
32                      0.58
64                      0.61
128                     0.60
256                     0.59
512                     0.74
1024                    0.87
2048                    0.98
4096                    1.96
8192                    2.80
16384                   4.38
32768                   6.93
65536                   9.64
131072                 15.43
262144                 27.32
524288                 53.36
1048576               108.40
2097152               208.39
4194304               411.59
