# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.43
2                       6.90
4                      14.32
8                      28.41
16                     57.09
32                    114.16
64                    224.34
128                   446.37
256                   851.58
512                  1144.31
1024                 2030.46
2048                 3621.15
4096                 3321.09
8192                 4954.03
16384                7467.45
32768                9258.88
65536               10411.52
131072              10816.76
262144              11069.03
524288              11235.75
1048576             11305.10
2097152             11282.91
4194304             11356.75
