# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.22        2215993.66
2                       4.41        2204315.91
4                       8.80        2200941.18
8                      17.90        2237849.87
16                     35.25        2202900.57
32                     69.56        2173625.98
64                    138.82        2169139.98
128                   259.52        2027489.98
256                   504.72        1971561.76
512                  1064.71        2079506.82
1024                 1957.43        1911557.21
2048                 3451.13        1685121.29
4096                 2962.15         723181.54
8192                 4864.61         593824.38
16384                7201.19         439525.55
32768                9169.92         279843.77
65536               10095.83         154050.16
131072              10643.83          81206.02
262144              10851.16          41393.89
524288              11003.91          20988.29
1048576             11041.90          10530.37
2097152             11082.32           5284.46
4194304             11061.86           2637.35
