# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.48
2                       6.81
4                      14.18
8                      28.01
16                     54.94
32                    111.50
64                    222.05
128                   437.42
256                   849.99
512                  1133.62
1024                 1976.86
2048                 3618.77
4096                 3277.90
8192                 5035.21
16384                7570.25
32768                9372.00
65536               10426.20
131072              10821.52
262144              11022.00
524288              11165.58
1048576             11221.30
2097152             11254.65
4194304             11260.99
