# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.60
2                       0.61
4                       0.61
8                       0.59
16                      0.60
32                      0.61
64                      0.60
128                     0.61
256                     0.61
512                     0.76
1024                    0.89
2048                    0.99
4096                    1.99
8192                    2.85
16384                   4.57
32768                   6.98
65536                   9.69
131072                 15.52
262144                 27.54
524288                 53.43
1048576               106.95
2097152               209.51
4194304               414.33
