# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.57
2                       0.57
4                       0.58
8                       0.58
16                      0.56
32                      0.57
64                      0.57
128                     0.59
256                     0.60
512                     0.78
1024                    0.88
2048                    1.00
4096                    2.08
8192                    2.86
16384                   4.41
32768                   7.00
65536                   9.69
131072                 15.58
262144                 27.66
524288                 53.83
1048576               108.93
2097152               211.81
4194304               418.77
