# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.26        2258128.34
2                       4.51        2256953.92
4                       9.12        2279699.79
8                      18.15        2268278.84
16                     35.59        2224602.47
32                     71.28        2227468.22
64                    140.03        2187997.01
128                   266.39        2081141.83
256                   520.54        2033350.89
512                  1082.57        2114397.14
1024                 2000.99        1954095.85
2048                 3520.75        1719116.05
4096                 3019.59         737204.08
8192                 4935.23         602444.89
16384                7287.56         444797.38
32768                9224.21         281500.54
65536               10125.20         154498.36
131072              10684.77          81518.33
262144              10888.39          41535.92
524288              11056.93          21089.41
1048576             11122.35          10607.10
2097152             11170.32           5326.43
4194304             11173.69           2664.02
