# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.62
2                       7.33
4                      14.31
8                      29.19
16                     57.28
32                    117.79
64                    229.25
128                   461.81
256                   863.74
512                  1145.78
1024                 2014.64
2048                 3583.76
4096                 3314.38
8192                 4969.71
16384                7451.81
32768                9284.79
65536               10466.42
131072              10869.79
262144              11083.93
524288              11232.41
1048576             11177.34
2097152             11328.26
4194304             11303.01
