# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.59
2                       0.58
4                       0.59
8                       0.57
16                      0.57
32                      0.56
64                      0.59
128                     0.59
256                     0.63
512                     0.78
1024                    0.86
2048                    1.06
4096                    2.09
8192                    2.89
16384                   4.57
32768                   7.03
65536                   9.68
131072                 15.63
262144                 27.62
524288                 54.41
1048576               109.71
2097152               210.97
4194304               420.04
