# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.28        2275692.30
2                       4.52        2259208.45
4                       9.11        2278552.15
8                      17.93        2241721.86
16                     35.83        2239626.45
32                     71.49        2234092.47
64                    142.01        2218950.66
128                   267.04        2086267.76
256                   515.34        2013047.95
512                  1101.34        2151045.83
1024                 2007.21        1960164.86
2048                 3494.88        1706482.41
4096                 3015.99         736325.36
8192                 4900.40         598192.84
16384                7280.49         444365.56
32768                9246.95         282194.53
65536               10127.07         154526.88
131072              10687.70          81540.66
262144              10889.92          41541.73
524288              10959.96          20904.47
1048576             10983.13          10474.33
2097152             11154.24           5318.75
4194304             11143.51           2656.82
