# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.60
2                       0.59
4                       0.58
8                       0.60
16                      0.59
32                      0.59
64                      0.58
128                     0.58
256                     0.59
512                     0.76
1024                    0.88
2048                    1.00
4096                    1.98
8192                    2.82
16384                   4.42
32768                   6.94
65536                   9.68
131072                 15.46
262144                 27.40
524288                 53.35
1048576               108.70
2097152               209.20
4194304               413.40
