# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.58
2                       0.57
4                       0.56
8                       0.58
16                      0.57
32                      0.56
64                      0.57
128                     0.59
256                     0.60
512                     0.75
1024                    0.84
2048                    1.00
4096                    2.03
8192                    2.81
16384                   4.36
32768                   6.94
65536                   9.68
131072                 15.56
262144                 27.79
524288                 53.55
1048576               110.08
2097152               214.43
4194304               417.56
