# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.60
2                       0.57
4                       0.60
8                       0.57
16                      0.58
32                      0.58
64                      0.61
128                     0.60
256                     0.60
512                     0.73
1024                    0.85
2048                    1.03
4096                    2.09
8192                    2.85
16384                   4.51
32768                   7.08
65536                   9.57
131072                 15.47
262144                 27.77
524288                 52.94
1048576               108.77
2097152               211.87
4194304               416.52
