# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.59
2                       0.60
4                       0.60
8                       0.58
16                      0.58
32                      0.59
64                      0.59
128                     0.61
256                     0.62
512                     0.75
1024                    0.87
2048                    1.02
4096                    1.99
8192                    2.85
16384                   4.42
32768                   6.97
65536                   9.71
131072                 15.48
262144                 27.41
524288                 53.90
1048576               107.62
2097152               209.38
4194304               413.19
