# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.58
2                       0.57
4                       0.57
8                       0.56
16                      0.56
32                      0.56
64                      0.56
128                     0.58
256                     0.59
512                     0.77
1024                    0.85
2048                    1.01
4096                    2.02
8192                    2.81
16384                   4.33
32768                   7.07
65536                   9.55
131072                 15.40
262144                 27.45
524288                 53.61
1048576               111.31
2097152               214.00
4194304               417.44
