# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.59
2                       0.59
4                       0.58
8                       0.58
16                      0.57
32                      0.59
64                      0.57
128                     0.56
256                     0.57
512                     0.76
1024                    0.83
2048                    1.00
4096                    2.04
8192                    2.87
16384                   4.47
32768                   6.93
65536                   9.59
131072                 15.43
262144                 27.65
524288                 52.57
1048576               107.15
2097152               209.72
4194304               415.30
