# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.53
2                       7.24
4                      14.25
8                      28.58
16                     58.29
32                    114.02
64                    231.35
128                   455.30
256                   861.82
512                  1147.93
1024                 1998.94
2048                 3617.14
4096                 3334.45
8192                 5086.25
16384                7626.31
32768                9454.74
65536               10503.86
131072              10877.32
262144              11078.78
524288              11201.57
1048576             11264.95
2097152             11251.77
4194304             11302.52
