# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.59
2                       0.57
4                       0.58
8                       0.57
16                      0.56
32                      0.56
64                      0.58
128                     0.59
256                     0.60
512                     0.77
1024                    0.86
2048                    1.03
4096                    2.06
8192                    2.82
16384                   4.36
32768                   6.93
65536                   9.61
131072                 15.51
262144                 27.62
524288                 53.64
1048576               110.61
2097152               213.60
4194304               418.74
