# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.53
2                       7.11
4                      14.13
8                      28.15
16                     55.45
32                    115.36
64                    230.08
128                   451.86
256                   856.62
512                  1104.47
1024                 1991.39
2048                 3610.10
4096                 3269.67
8192                 4893.62
16384                7346.96
32768                9172.75
65536               10309.34
131072              10712.94
262144              11012.96
524288              11163.62
1048576             11225.72
2097152             11270.76
4194304             11278.06
