# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.24        2237901.99
2                       4.44        2218046.67
4                       8.89        2221957.52
8                      17.93        2241325.32
16                     35.56        2222336.66
32                     71.61        2237858.25
64                    142.89        2232700.72
128                   267.55        2090269.05
256                   513.56        2006086.09
512                  1003.72        1960385.81
1024                 1825.40        1782613.36
2048                 3241.34        1582687.81
4096                 2750.07         671404.90
8192                 4527.17         552632.71
16384                6950.97         424253.75
32768                8974.54         273881.27
65536                9943.24         151721.73
131072              10541.86          80427.97
262144              10740.35          40971.17
524288              10891.36          20773.62
1048576             10970.79          10462.56
2097152             10998.69           5244.58
4194304             11014.71           2626.11
