# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.14        3137615.88
2                       6.33        3163209.66
4                      12.94        3235171.98
8                      25.59        3198736.66
16                     51.61        3225609.89
32                    104.10        3253154.26
64                    206.30        3223450.44
128                   404.41        3159479.36
256                   773.48        3021388.36
512                  1223.17        2389008.35
1024                 2181.20        2130077.86
2048                 3753.38        1832707.38
4096                 3307.30         807445.57
8192                 5052.42         616750.08
16384                7554.83         461109.94
32768                9343.29         285134.57
65536               10388.89         158521.85
131072              10820.11          82550.90
262144              11015.86          42022.18
524288              11162.56          21290.90
1048576             11227.80          10707.66
2097152             11266.09           5372.09
4194304             11274.41           2688.03
