# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.01
2                       6.09
4                      12.12
8                      24.14
16                     47.85
32                     95.39
64                    185.21
128                   358.93
256                   691.74
512                  1133.86
1024                 2040.85
2048                 3521.23
4096                 2921.25
8192                 4607.04
16384                7063.30
32768                8999.47
65536               10053.54
131072              10638.02
262144              10851.42
524288              10993.66
1048576             10933.66
2097152             11065.54
4194304             11081.96
