# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.38
2                       6.82
4                      14.29
8                      27.00
16                     55.30
32                    107.06
64                    218.63
128                   427.37
256                   842.89
512                  1151.76
1024                 2063.15
2048                 3672.11
4096                 3373.30
8192                 5015.56
16384                7495.71
32768                9338.69
65536               10478.25
131072              10893.07
262144              11150.20
524288              11301.72
1048576             11374.17
2097152             11423.30
4194304             11429.78
