# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.61
2                       7.23
4                      14.62
8                      29.35
16                     58.46
32                    113.62
64                    232.88
128                   452.04
256                   848.12
512                  1133.52
1024                 2019.87
2048                 3675.37
4096                 3330.96
8192                 4983.94
16384                7492.23
32768                9241.14
65536               10467.58
131072              10837.23
262144              11054.15
524288              11203.18
1048576             11279.08
2097152             11317.25
4194304             11336.46
