# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.06
2                       6.10
4                      12.33
8                      24.64
16                     48.88
32                     96.45
64                    188.17
128                   365.13
256                   710.58
512                  1185.53
1024                 2115.33
2048                 3592.54
4096                 3013.89
8192                 4760.81
16384                7215.16
32768                9141.23
65536               10075.62
131072              10702.92
262144              10907.25
524288              11058.58
1048576             11106.54
2097152             11140.01
4194304             11147.74
