# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.56
2                       0.57
4                       0.57
8                       0.55
16                      0.54
32                      0.56
64                      0.56
128                     0.57
256                     0.59
512                     0.73
1024                    0.81
2048                    0.98
4096                    1.99
8192                    2.77
16384                   4.32
32768                   6.90
65536                   9.60
131072                 15.45
262144                 27.45
524288                 53.72
1048576               109.31
2097152               212.94
4194304               417.75
