# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.59
2                       0.57
4                       0.58
8                       0.55
16                      0.57
32                      0.56
64                      0.62
128                     0.59
256                     0.62
512                     0.76
1024                    0.89
2048                    1.01
4096                    1.97
8192                    2.81
16384                   4.38
32768                   6.93
65536                   9.69
131072                 15.44
262144                 27.34
524288                 52.37
1048576               106.32
2097152               208.54
4194304               413.17
