# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.58
2                       0.57
4                       0.58
8                       0.58
16                      0.56
32                      0.58
64                      0.58
128                     0.60
256                     0.59
512                     0.75
1024                    0.84
2048                    0.99
4096                    2.05
8192                    2.85
16384                   4.38
32768                   6.95
65536                   9.59
131072                 15.50
262144                 27.59
524288                 53.57
1048576               108.87
2097152               212.36
4194304               419.92
