# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.59
2                       0.62
4                       0.60
8                       0.62
16                      0.59
32                      0.61
64                      0.60
128                     0.64
256                     0.70
512                     0.75
1024                    0.88
2048                    0.99
4096                    1.97
8192                    2.84
16384                   4.42
32768                   6.93
65536                   9.69
131072                 15.43
262144                 27.31
524288                 52.77
1048576               107.97
2097152               208.85
4194304               411.50
