# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.55
2                       0.57
4                       0.55
8                       0.60
16                      0.58
32                      0.60
64                      0.58
128                     0.60
256                     0.59
512                     0.74
1024                    0.84
2048                    0.99
4096                    2.03
8192                    2.82
16384                   4.36
32768                   6.92
65536                   9.57
131072                 15.47
262144                 27.50
524288                 52.86
1048576               107.71
2097152               210.84
4194304               415.69
