# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.23        2234810.72
2                       4.49        2243765.57
4                       8.94        2235042.29
8                      17.73        2216307.84
16                     35.21        2200486.00
32                     70.03        2188441.95
64                    138.75        2167932.52
128                   265.93        2077584.13
256                   517.79        2022624.38
512                  1107.32        2162728.20
1024                 1989.32        1942693.28
2048                 3490.40        1704296.29
4096                 3013.97         735832.52
8192                 4898.24         597929.34
16384                7253.68         442729.61
32768                9188.16         280400.48
65536               10086.82         153912.70
131072              10651.77          81266.58
262144              10829.69          41312.00
524288              10958.13          20900.97
1048576             11095.35          10581.35
2097152             11127.35           5305.93
4194304             11141.05           2656.23
