# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.61
2                       0.61
4                       0.64
8                       0.62
16                      0.61
32                      0.62
64                      0.59
128                     0.65
256                     0.73
512                     0.76
1024                    0.90
2048                    1.03
4096                    1.99
8192                    2.82
16384                   4.38
32768                   6.90
65536                   9.69
131072                 15.39
262144                 27.26
524288                 52.49
1048576               107.90
2097152               209.67
4194304               410.70
