# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.60
2                       0.59
4                       0.60
8                       0.59
16                      0.58
32                      0.60
64                      0.59
128                     0.60
256                     0.61
512                     0.76
1024                    0.88
2048                    1.00
4096                    1.99
8192                    2.83
16384                   4.40
32768                   6.95
65536                   9.70
131072                 15.52
262144                 27.39
524288                 53.25
1048576               106.95
2097152               209.43
4194304               414.35
