# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.61
2                       0.62
4                       0.62
8                       0.63
16                      0.61
32                      0.62
64                      0.60
128                     0.60
256                     0.63
512                     0.73
1024                    0.89
2048                    1.03
4096                    2.00
8192                    2.93
16384                   4.40
32768                   6.95
65536                   9.71
131072                 15.44
262144                 27.34
524288                 52.98
1048576               107.56
2097152               208.51
4194304               411.57
