# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.57
2                       0.59
4                       0.59
8                       0.61
16                      0.59
32                      0.61
64                      0.57
128                     0.61
256                     0.62
512                     0.76
1024                    0.87
2048                    0.99
4096                    1.99
8192                    2.83
16384                   4.38
32768                   6.95
65536                   9.70
131072                 15.45
262144                 27.33
524288                 52.91
1048576               106.99
2097152               207.92
4194304               411.39
