# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.54
2                       0.55
4                       0.53
8                       0.55
16                      0.55
32                      0.56
64                      0.55
128                     0.58
256                     0.60
512                     0.73
1024                    0.87
2048                    0.98
4096                    1.94
8192                    2.74
16384                   4.31
32768                   6.88
65536                   9.62
131072                 15.35
262144                 27.23
524288                 52.75
1048576               107.27
2097152               209.03
4194304               409.89
