# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.59
2                       0.60
4                       0.60
8                       0.59
16                      0.59
32                      0.61
64                      0.59
128                     0.61
256                     0.66
512                     0.79
1024                    0.92
2048                    1.03
4096                    2.01
8192                    2.90
16384                   4.46
32768                   7.04
65536                   9.76
131072                 15.62
262144                 27.54
524288                 53.48
1048576               108.86
2097152               211.13
4194304               413.90
