# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.56
2                       0.58
4                       0.55
8                       0.56
16                      0.54
32                      0.57
64                      0.57
128                     0.59
256                     0.61
512                     0.75
1024                    0.84
2048                    1.02
4096                    2.04
8192                    2.79
16384                   4.35
32768                   6.92
65536                   9.62
131072                 15.52
262144                 27.54
524288                 53.19
1048576               106.93
2097152               209.17
4194304               414.45
