# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.62
2                       0.63
4                       0.63
8                       0.61
16                      0.64
32                      0.62
64                      0.61
128                     0.62
256                     0.66
512                     0.78
1024                    0.93
2048                    1.03
4096                    2.05
8192                    2.92
16384                   4.46
32768                   7.00
65536                   9.79
131072                 15.57
262144                 27.55
524288                 53.07
1048576               108.13
2097152               209.48
4194304               414.35
