# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.10        3097293.74
2                       6.32        3158692.05
4                      12.78        3194898.39
8                      25.51        3189047.69
16                     50.30        3143649.76
32                    102.83        3213553.64
64                    200.59        3134263.52
128                   401.42        3136081.95
256                   750.67        2932304.77
512                  1237.72        2417420.08
1024                 2183.83        2132647.54
2048                 3787.72        1849470.82
4096                 3351.53         818244.66
8192                 5098.77         622408.56
16384                7659.60         467504.71
32768                9449.18         288366.08
65536               10452.12         159486.71
131072              10880.18          83009.20
262144              11145.33          42516.06
524288              11289.47          21532.95
1048576             11349.69          10823.90
2097152             11393.73           5432.95
4194304             11402.98           2718.68
