# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.55
2                       7.38
4                      14.27
8                      29.45
16                     57.30
32                    119.16
64                    233.54
128                   464.62
256                   869.74
512                  1140.79
1024                 2016.62
2048                 3620.73
4096                 3362.60
8192                 5009.03
16384                7499.72
32768                9281.28
65536               10457.81
131072              10827.57
262144              11064.08
524288              11209.82
1048576             11271.05
2097152             11321.53
4194304             11325.42
