# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.45
2                       6.87
4                      14.25
8                      28.00
16                     56.93
32                    112.23
64                    228.60
128                   442.06
256                   826.04
512                  1115.51
1024                 2007.33
2048                 3603.67
4096                 3300.21
8192                 5061.64
16384                7551.30
32768                9356.62
65536               10398.12
131072              10808.84
262144              11032.07
524288              11166.52
1048576             11223.12
2097152             11267.13
4194304             11246.07
