# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.00        2995252.62
2                       6.10        3051840.47
4                      11.85        2962281.09
8                      23.82        2977501.58
16                     47.59        2974164.41
32                     96.29        3008990.77
64                    188.33        2942634.13
128                   364.57        2848224.48
256                   711.34        2778687.36
512                  1173.97        2292910.83
1024                 2099.58        2050373.71
2048                 3699.03        1806165.99
4096                 3208.27         783268.57
8192                 4910.25         599395.91
16384                7422.59         453038.94
32768                9188.22         280402.09
65536               10272.62         156747.77
131072              10700.44          81637.87
262144              10924.32          41672.99
524288              11061.30          21097.75
1048576             11020.73          10510.19
2097152             11161.81           5322.37
4194304             11147.24           2657.71
