# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.11
2                       6.14
4                      12.48
8                      24.49
16                     49.38
32                     94.03
64                    186.93
128                   365.45
256                   694.12
512                  1176.11
1024                 2093.12
2048                 3595.05
4096                 2987.48
8192                 4701.68
16384                7150.17
32768                9089.56
65536               10018.44
131072              10638.25
262144              10878.61
524288              11042.32
1048576             11111.83
2097152             11147.06
4194304             11152.93
