# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.03
2                       6.16
4                      12.23
8                      24.07
16                     48.96
32                     94.37
64                    188.11
128                   372.85
256                   713.67
512                  1164.51
1024                 2093.63
2048                 3569.06
4096                 2989.40
8192                 4700.03
16384                7164.61
32768                9060.08
65536               10031.18
131072              10657.75
262144              10863.84
524288              11006.36
1048576             11060.51
2097152             11085.63
4194304             11097.13
