# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.56
2                       0.58
4                       0.55
8                       0.55
16                      0.55
32                      0.58
64                      0.56
128                     0.59
256                     0.61
512                     0.74
1024                    0.85
2048                    1.05
4096                    2.03
8192                    2.81
16384                   4.34
32768                   6.90
65536                   9.70
131072                 15.44
262144                 27.49
524288                 52.65
1048576               107.23
2097152               209.82
4194304               418.15
