# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.61
2                       0.63
4                       0.64
8                       0.64
16                      0.64
32                      0.61
64                      0.62
128                     0.64
256                     0.67
512                     0.81
1024                    0.93
2048                    1.02
4096                    2.08
8192                    2.94
16384                   4.50
32768                   7.05
65536                   9.76
131072                 15.53
262144                 27.51
524288                 53.33
1048576               109.60
2097152               209.27
4194304               414.08
