# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.56
2                       0.56
4                       0.55
8                       0.56
16                      0.56
32                      0.57
64                      0.55
128                     0.60
256                     0.70
512                     0.75
1024                    0.89
2048                    1.03
4096                    2.01
8192                    2.84
16384                   4.42
32768                   6.95
65536                   9.68
131072                 15.61
262144                 27.33
524288                 52.53
1048576               106.29
2097152               208.50
4194304               412.04
