# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.01
2                       5.95
4                      12.08
8                      23.80
16                     47.41
32                     93.15
64                    183.13
128                   355.30
256                   691.72
512                  1135.59
1024                 2023.30
2048                 3473.60
4096                 2947.60
8192                 4633.32
16384                7110.84
32768                9021.07
65536                9999.23
131072              10618.03
262144              10836.80
524288              10989.88
1048576             11041.05
2097152             11070.65
4194304             11086.89
