# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.72
2                       0.67
4                       0.65
8                       0.67
16                      0.65
32                      0.65
64                      0.65
128                     0.72
256                     0.71
512                     0.77
1024                    0.87
2048                    1.02
4096                    2.07
8192                    2.77
16384                   4.25
32768                   6.51
65536                   9.37
131072                 15.13
262144                 27.02
524288                 52.45
1048576               110.74
2097152               225.14
4194304               452.09
