# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.65
2                       0.66
4                       0.64
8                       0.65
16                      0.65
32                      0.65
64                      0.65
128                     0.72
256                     0.73
512                     0.82
1024                    0.86
2048                    1.01
4096                    2.00
8192                    2.78
16384                   4.22
32768                   6.49
65536                   9.48
131072                 15.16
262144                 27.00
524288                 51.53
1048576               109.36
2097152               227.69
4194304               450.96
